대표지번,진행단계,위도,경도,cate_code
방배동 758-4,조합설립추진위원회승인,37.4798789,126.9939103,3
한강로3가 40-712,조합설립추진위원회승인,37.52754,126.96297,3
반포동 65-1,조합설립추진위원회승인,37.50312,127.0014,3
가산동 999-986,조합설립추진위원회승인,37.47532525,126.88639535805152,3
연희동 721-6,조합설립추진위원회승인,37.57234,126.93084,3
신문로1가 158,조합설립추진위원회승인,37.57017,126.97417,3
방배동 872-11,조합설립추진위원회승인,37.4798789,126.9939103,3
가산동 112-123,조합설립추진위원회승인,37.47532525,126.88639535805152,3
도곡동 934-10,조합설립추진위원회승인,37.4878395,127.0438569,3
면목동 69-14,조합설립추진위원회승인,37.58178,127.09034,3
당산동3가 394,조합설립추진위원회승인,37.52616,126.89724,3
신길동 355-310,조합설립추진위원회승인,37.3335204,126.77378,3
중림동 398,조합설립추진위원회승인,37.5567609,126.96630371330951,3
신길동 355-315,조합설립추진위원회승인,37.3335204,126.77378,3
신길동 355-347,조합설립추진위원회승인,37.3335204,126.77378,3
성북동 179-68,조합설립추진위원회승인,37.59552,126.99215,3
신길동 263-56,조합설립추진위원회승인,37.3335204,126.77378,3
창신동 330-1,조합설립추진위원회승인,37.57595,127.01313,3
시흥동 871,조합설립추진위원회승인,37.4507049,126.9085555,3
용두동 23-1,조합설립추진위원회승인,37.57616,127.03476,3
이촌동 211-2,조합설립추진위원회승인,37.52086,126.96612,3
압구정동 414,조합설립추진위원회승인,37.5300432,127.0313346,3
휘경동 43-188,조합설립추진위원회승인,37.58773,127.06526,3
도곡동 869,조합설립추진위원회승인,37.4878395,127.0438569,3
염리동 105,조합설립추진위원회승인,37.547645,126.9431093,3
봉천동 913-1,조합설립추진위원회승인,37.484665,126.9484961,3
상봉동 107-1,조합설립추진위원회승인,37.60286415,127.0862750302752,3
성수동1가 22-13,조합설립추진위원회승인,37.5435,127.03742,3
신월동 487-4,조합설립추진위원회승인,37.52782,126.83692,3
정릉동 894,조합설립추진위원회승인,37.61654,126.99794,3
미아동 6,조합설립추진위원회승인,37.628995,127.02575433718266,3
중화동 131-35,조합설립추진위원회승인,37.59755,127.07783,3
가산동 146-78,조합설립추진위원회승인,37.47532525,126.88639535805152,3
독산동 147-20,조합설립추진위원회승인,37.468399,126.8979571,3
면목동 172-1,조합설립추진위원회승인,37.58178,127.09034,3
창신동 23-2,조합설립추진위원회승인,37.57595,127.01313,3
영등포동2가 34-81,조합설립추진위원회승인,37.52125,126.91222,3
잠원동 61-1,조합설립추진위원회승인,37.5182544,127.01240284968917,3
송파동 100-,조합설립추진위원회승인,37.50479,127.11369,3
청량리동 235-1,조합설립추진위원회승인,37.58831,127.0459,3
신대방동 600-14,조합설립추진위원회승인,37.4955756,126.9195788,3
이촌동 203-75,조합설립추진위원회승인,37.52086,126.96612,3
시흥동 810,조합설립추진위원회승인,37.4507049,126.9085555,3
영등포동2가 253,조합설립추진위원회승인,37.52125,126.91222,3
천호동 532-2,조합설립추진위원회승인,37.54294,127.12733,3
용두동 52-28,조합설립추진위원회승인,37.57616,127.03476,3
화곡동 1040-24,조합설립추진위원회승인,37.54208,126.84656,3
내자동 81,조합설립추진위원회승인,37.57522,126.97146,3
중림동 186-1,조합설립추진위원회승인,37.5567609,126.96630371330951,3
미아동 45-32,조합설립추진위원회승인,37.628995,127.02575433718266,3
수유동 472-81,조합설립추진위원회승인,37.6352212,127.0090642,3
중화동 324,조합설립추진위원회승인,37.59755,127.07783,3
수유동 170-2,조합설립추진위원회승인,37.6352212,127.0090642,3
미아동 61-79,조합설립추진위원회승인,37.628995,127.02575433718266,3
상봉동 50-1,조합설립추진위원회승인,35.203496599999994,128.07191852499722,3
반포동 1-8,조합설립추진위원회승인,37.50312,127.0014,3
고척동 103-4,조합설립추진위원회승인,37.5034631,126.8585846,3
신수동 225-7,조합설립추진위원회승인,34.898858,128.0730913,3
문래동3가 76-1,조합설립추진위원회승인,37.51702,126.89591,3
용두동 53-6,조합설립추진위원회승인,37.57616,127.03476,3
성수동1가 656-421,조합설립추진위원회승인,37.5435,127.03742,3
수유동 291-224,조합설립추진위원회승인,37.6352212,127.0090642,3
봉천동 63-89,조합설립추진위원회승인,37.484665,126.9484961,3
흑석동 99-3,조합설립추진위원회승인,37.5064393,126.963687,3
후암동 142-4,조합설립추진위원회승인,37.55011,126.98028,3
양평동1가 9-6,조합설립추진위원회승인,37.52309,126.88868,3
금호동2가 684,조합설립추진위원회승인,37.55311,127.0211,3
