대표지번,진행단계,cate_code,위도,경도
대방동 391-63,조합설립인가,4,37.5067997,126.92913492678356
신공덕동 6-3,조합설립인가,4,37.5447,126.95606
장위동 232-125,조합설립인가,4,37.6162,127.05086
황학동 310,조합설립인가,4,37.5675499,127.02172
황학동 1010,조합설립인가,4,37.5675499,127.02172
황학동 2085,조합설립인가,4,37.5675499,127.02172
봉천동 26,조합설립인가,4,37.484665,126.9484961
봉천동 690,조합설립인가,4,37.484665,126.9484961
구로동 715-24,정비구역지정,2,37.4945849,126.8845477
중화동 122,조합설립인가,4,37.59755,127.07783
휘경동 43,조합설립추진위원회승인,3,37.58823975,127.0626972803802
신림동 739,사업시행인가,5,37.48682825,126.92826657522511
자양동 57-90,정비계획 수립,1,36.3366812,127.4490374
방화동 286-1,조합설립인가,4,37.57682,126.81422
광장동 561,조합설립인가,4,37.54711,127.10414
궁동 213-27,정비구역지정,2,37.5006694,126.8280726
신정동 913,정비계획 수립,1,35.53487,129.31199
천호동 461-31,정비구역지정,2,37.54294,127.12733
봉천동 1535-37,조합설립인가,4,37.484665,126.9484961
가락동 140,조합설립인가,4,35.190215,128.8920173
개포동 187,사업시행인가,5,37.48421,127.07006
면목동 153-51,조합설립인가,4,37.58178,127.09034
번동 471-118,조합설립인가,4,37.62929,127.03684
화양동 32-12,조합설립인가,4,37.54408,127.06895
대방동 11-103,조합설립인가,4,37.5067997,126.92913492678356
염창동 255,조합설립인가,4,37.55534725,126.87252829335478
미아동 61-79,조합설립인가,4,37.628995,127.02575433718266
수유동 170-1,정비계획 수립,1,37.6352212,127.0090642
여의도동 21-2,조합설립인가,4,,
여의도동 38-1,조합설립인가,4,,
전농동 60,조합설립인가,4,37.5806,127.05543
마장동 784,조합설립인가,4,37.56743,127.04045
홍제동 311-1,정비계획 수립,1,37.5871,126.94676
염창동 253-1,조합설립인가,4,37.55534725,126.87252829335478
번동 443-46,조합설립인가,4,37.62929,127.03684
방배동 562-1,조합설립인가,4,37.4798789,126.9939103
석관동 332-113,조합설립인가,4,37.60789,127.06116
이촌동 211-2,조합설립추진위원회승인,3,37.52086,126.96612
양평동3가 79-4,안전진단,0,37.5282501,126.8914746
대림동 696,안전진단,0,37.4957573,126.899936
당산동4가 88,안전진단,0,37.52915,126.89894
신길동 4656,안전진단,0,37.3335204,126.77378
여의도동 54,안전진단,0,,
여의도동 21-1,안전진단,0,,
여의도동 40-4,안전진단,0,,
여의도동 40,안전진단,0,37.5184931,126.9395997
