진행단계,정비구역명칭,정비구역면적(㎡),사업구분,재건축단계,서울시_정비구역위치,Latitude,Longitude,cate_code
조합설립인가,사당동 인정아파트 소규모 재건축 정비사업,2921.0,소규모재건축,조합 설립 전,서울시 동작구 사당동 196-0,37.4894138,126.9648926,4
조합설립인가,번동7구역가로주택정비사업조합,5617.9,가로주택정비,조합 설립 전,서울시 강북구 번동 457-1,37.638264,127.0339285,4
조합설립인가,홍제제2구역 도시환경정비사업 조합,3069.0,재개발(도시정비형),조합 설립 전,서울시 서대문구 홍제동 326-5,37.5904555,126.9415945,4
조합설립추진위원회승인,흑석2재정비촉진구역 재개발정비사업 주민대표회의,45229.0,재개발(도시정비형),조합 설립 전,서울시 동작구 흑석동 99-3번지,37.5076037,126.9621956,3
조합설립추진위원회승인,이촌동제1구역 주택재건축정비사업,23543.8,재건축,조합 설립 전,서울시 용산구 이촌동 199 203 206,37.5252405,126.9560626,3
조합설립인가,동양연립(궁동) 소규모재건축사업,6890.0,소규모재건축,조합 설립 전,서울시 구로구 궁동 171-1번지외 3필지,37.4959326,126.8307991,4
정비구역지정,문래동1?2가 도시환경정비구역,96329.0,재개발(도시정비형),조합 설립 전,서울시 영등포구 문래동1가 70-1,37.5113788,126.8942508,2
정비구역지정,영등포1-14 재정비촉진구역,4307.0,재개발(도시정비형),조합 설립 전,서울시 영등포동5가 34-16,37.5207786,126.9077976,2
조합설립인가,유원제일2차아파트 주택재건축정비사업,28654.1,재건축,조합 설립 전,서울시 영등포구 선유동2로 56 유원제일2차아파트,37.533047,126.8981143,4
조합설립인가,전농제9구역 공공재개발정비사업 주민대표회의,49061.0,재개발(주택정비형),조합 설립 전,서울시 전농동 103-236번지 외,37.5835693,127.0514045,4
조합설립인가,천호동 107-33일대 가로주택정비사업,7565.0,가로주택정비,조합 설립 전,서울시 강동구 천호동 107-33,37.542695,127.1367338,4
조합설립인가,신반포4차아파트 재건축정비사업조합,85420.8,재건축,조합 설립 전,서울시 잠원동 70번지,37.5083529,127.0059798,4
조합설립인가,신동아아파트,111832.3,재건축,조합 설립 전,서울시 용산구 서빙고동 241-21,37.5180976,126.9875013,4
조합설립인가,압구정아파트지구 특별계획구역4   재건축정비사업조합,108050.3,재건축,조합 설립 전,서울시 강남구 압구정동 481-0,37.5312143,127.0354395,4
조합설립인가,면목본동2구역 가로주택정비사업,10094.22,가로주택정비,조합 설립 전,서울시 중랑구 면목동 106-5,37.5884157,127.0914752,4
